,point_idx,dist_around,center_left,center_bottom,center_right,random_up,random_right,random_bottom,center_up,random_left,dist_index_sort
273,2,19.026,14,29,4,22,1,2,3,13,56.0
274,2,8.944,14,29,4,11,4,1,3,10,29.0
275,2,2.0,14,29,4,1,4,31,3,14,2.0
276,2,28.178,14,29,4,28,10,4,3,1,91.0
277,2,18.439,14,29,4,6,3,15,3,2,53.0
278,2,2.0,14,29,4,5,4,27,3,14,2.0
279,2,20.616,14,29,4,3,5,9,3,4,65.0
280,2,19.313,14,29,4,1,7,11,3,1,59.0
281,2,3.0,14,29,4,0,4,32,3,14,10.0
282,2,2.236,14,29,4,1,3,6,3,0,6.0
283,2,3.606,14,29,4,5,1,27,3,17,12.0
284,2,4.0,14,29,4,3,8,9,3,10,14.0
285,2,14.56,14,29,4,17,0,15,3,18,44.0
286,2,20.518,14,29,4,17,6,15,3,0,64.0
287,2,5.831,14,29,4,1,9,6,3,4,21.0
288,2,16.155,14,29,4,9,2,23,3,0,48.0
289,2,23.601,14,29,4,22,14,10,3,0,80.0
290,2,13.342,14,29,4,16,1,16,3,17,42.0
291,2,2.0,14,29,4,3,2,29,3,16,2.0
292,2,28.071,14,29,4,31,2,1,3,16,90.0
293,2,12.0,14,29,4,15,0,17,3,14,40.0
294,2,23.77,14,29,4,19,6,7,3,0,81.0
295,2,29.275,14,29,4,32,0,0,3,18,95.0
296,2,23.854,14,29,4,23,13,9,3,1,83.0
297,2,30.676,14,29,4,32,14,0,3,4,98.0
298,2,10.77,14,29,4,13,0,19,3,18,36.0
299,2,19.235,14,29,4,22,1,10,3,17,57.0
300,3,9.899,2,0,6,19,4,13,6,1,48.0
301,3,1.0,2,0,6,7,5,0,6,4,0.0
302,3,20.396,2,0,6,32,14,0,6,4,97.0
303,3,9.0,2,0,6,1,6,11,6,2,41.0
304,3,5.099,2,0,6,13,2,19,6,3,12.0
305,3,9.22,2,0,6,10,2,22,6,0,42.0
306,3,8.246,2,0,6,0,8,12,6,0,37.0
307,3,15.0,2,0,6,0,19,32,6,0,80.0
308,3,12.53,2,0,6,1,16,1,6,2,65.0
309,3,3.162,2,0,6,3,7,3,6,1,3.0
310,3,7.81,2,0,6,18,2,14,6,3,30.0
311,3,9.849,2,0,6,8,1,24,6,17,46.0
312,3,7.81,2,0,6,7,4,25,6,14,30.0
313,3,10.05,2,0,6,2,11,0,6,1,51.0
314,3,10.296,2,0,6,17,1,15,6,17,53.0
315,3,5.831,2,0,6,9,11,23,6,3,15.0
316,3,14.56,2,0,6,26,7,6,6,4,79.0
317,3,6.403,2,0,6,17,2,6,6,12,23.0
318,3,11.0,2,0,6,1,10,1,6,2,61.0
319,3,10.817,2,0,6,21,0,11,6,14,60.0
320,3,8.062,2,0,6,5,0,27,6,4,35.0
321,3,7.616,2,0,6,5,7,27,6,11,27.0
322,3,8.062,2,0,6,5,6,18,6,12,35.0
323,3,6.325,2,0,6,0,12,6,6,0,19.0
324,3,10.198,2,0,6,10,0,22,6,18,52.0
325,3,17.464,2,0,6,29,7,3,6,4,87.0
326,3,17.088,2,0,6,17,9,4,6,2,85.0
327,3,6.403,2,0,6,8,11,24,6,3,23.0
328,3,10.0,2,0,6,18,2,14,6,16,49.0
329,3,12.207,2,0,6,22,13,10,6,1,63.0
330,3,15.033,2,0,6,7,2,5,6,4,81.0
331,3,21.541,2,0,6,32,2,0,6,16,99.0
332,3,13.454,2,0,6,2,19,30,6,0,68.0
333,3,6.0,2,0,6,12,0,20,6,14,18.0
334,3,8.485,2,0,6,7,3,14,6,2,38.0
335,3,5.0,2,0,6,15,1,17,6,4,9.0
336,3,4.472,2,0,6,14,2,9,6,12,8.0
337,3,10.296,2,0,6,7,1,25,6,17,53.0
338,3,7.81,2,0,6,18,2,14,6,3,30.0
339,3,5.831,2,0,6,15,2,17,6,3,15.0
340,3,10.0,2,0,6,18,2,14,6,16,49.0
341,3,10.77,2,0,6,2,6,21,6,12,57.0
342,3,14.142,2,0,6,6,1,6,6,10,74.0
343,3,13.892,2,0,6,24,10,8,6,1,72.0
344,3,9.22,2,0,6,19,0,13,6,14,42.0
345,3,20.1,2,0,6,12,12,0,6,0,96.0
346,3,10.44,2,0,6,22,3,10,6,11,55.0
347,3,14.318,2,0,6,14,9,7,6,2,78.0
348,3,5.0,2,0,6,12,1,12,6,13,9.0
349,3,9.849,2,0,6,16,6,16,6,0,46.0
350,3,6.325,2,0,6,3,3,18,6,2,19.0
351,3,19.647,2,0,6,0,5,1,6,13,95.0
352,3,14.213,2,0,6,23,15,9,6,0,77.0
353,3,8.0,2,0,6,12,2,20,6,16,33.0
354,3,6.325,2,0,6,6,8,6,6,10,19.0
355,3,19.105,2,0,6,11,1,1,6,10,93.0
356,3,10.77,2,0,6,2,14,30,6,4,57.0
357,3,17.117,2,0,6,9,1,3,6,10,86.0
358,3,8.944,2,0,6,20,10,12,6,4,39.0
359,3,6.325,2,0,6,0,12,6,6,0,19.0
360,3,3.0,2,0,6,6,9,20,6,0,2.0
361,3,16.125,2,0,6,26,11,6,6,0,83.0
362,3,10.63,2,0,6,4,0,28,6,1,56.0
363,3,19.235,2,0,6,29,12,3,6,0,94.0
364,3,13.454,2,0,6,22,15,10,6,0,68.0
365,3,5.099,2,0,6,13,2,19,6,3,12.0
366,3,13.342,2,0,6,19,6,7,6,0,66.0
367,3,16.031,2,0,6,8,4,4,6,1,82.0
368,3,12.369,2,0,6,0,7,32,6,11,64.0
369,3,5.0,2,0,6,12,11,20,6,3,9.0
370,3,8.944,2,0,6,8,1,24,6,0,39.0
371,3,5.657,2,0,6,8,10,24,6,4,14.0
372,3,7.616,2,0,6,13,0,13,6,0,27.0
373,3,10.77,2,0,6,16,0,16,6,18,57.0
374,3,8.0,2,0,6,12,14,20,6,0,33.0
375,3,3.162,2,0,6,11,3,21,6,11,3.0
376,3,18.439,2,0,6,30,7,2,6,4,92.0
377,3,14.142,2,0,6,6,5,6,6,0,74.0
378,3,13.416,2,0,6,13,9,8,6,2,67.0
379,3,18.248,2,0,6,30,0,2,6,11,91.0
380,3,5.831,2,0,6,15,2,17,6,3,15.0
381,3,17.0,2,0,6,27,2,5,6,16,84.0
382,3,17.464,2,0,6,3,3,4,6,0,87.0
383,3,7.616,2,0,6,9,0,23,6,1,27.0
384,3,7.211,2,0,6,16,0,16,6,14,25.0
385,3,14.036,2,0,6,6,4,6,6,1,73.0
386,3,13.454,2,0,6,3,0,29,6,18,68.0
387,3,14.142,2,0,6,22,0,10,6,18,74.0
388,3,11.402,2,0,6,19,1,13,6,17,62.0
389,3,18.028,2,0,6,10,2,2,6,4,89.0
390,3,2.236,2,0,6,5,8,1,6,0,1.0
391,3,21.024,2,0,6,31,1,1,6,17,98.0
392,3,9.434,2,0,6,4,5,20,6,13,45.0
393,3,7.211,2,0,6,5,3,16,6,2,25.0
394,3,3.606,2,0,6,9,4,3,6,10,5.0
395,3,18.028,2,0,6,29,4,3,6,14,89.0
396,3,9.22,2,0,6,10,1,22,6,17,42.0
397,3,4.243,2,0,6,3,9,23,6,0,7.0
398,3,3.606,2,0,6,10,3,22,6,11,5.0
399,3,13.601,2,0,6,1,18,31,6,0,71.0
400,4,21.19,18,1,0,11,3,21,31,11,58.0
401,4,11.402,18,1,0,22,3,10,31,11,18.0
402,4,9.434,18,1,0,23,1,1,31,13,14.0
403,4,17.029,18,1,0,14,9,12,31,0,38.0
404,4,16.401,18,1,0,15,9,11,31,0,36.0
405,4,29.428,18,1,0,2,5,22,31,13,87.0
406,4,26.249,18,1,0,11,13,21,31,1,81.0
407,4,7.071,18,1,0,32,7,0,31,11,5.0
408,4,17.263,18,1,0,28,10,4,31,1,39.0
409,4,19.799,18,1,0,17,1,15,31,4,48.0
410,4,25.495,18,1,0,2,7,4,31,1,76.0
411,4,20.0,18,1,0,8,3,13,31,2,50.0
412,4,22.472,18,1,0,19,6,13,31,0,63.0
413,4,14.036,18,1,0,17,1,15,31,17,31.0
414,4,13.601,18,1,0,21,6,5,31,0,28.0
415,4,12.166,18,1,0,9,5,3,31,0,23.0
416,4,14.866,18,1,0,17,1,7,31,13,34.0
417,4,36.359,18,1,0,0,19,32,31,0,98.0
418,4,12.207,18,1,0,4,3,8,31,2,24.0
419,4,19.849,18,1,0,10,0,16,31,0,49.0
420,4,20.0,18,1,0,11,0,21,31,18,50.0
421,4,26.476,18,1,0,5,5,19,31,13,82.0
422,4,13.038,18,1,0,20,3,12,31,11,26.0
423,4,25.495,18,1,0,6,5,18,31,13,76.0
424,4,20.248,18,1,0,20,13,12,31,1,53.0
425,4,0.0,18,1,0,31,0,1,31,18,0.0
426,4,23.345,18,1,0,8,0,24,31,14,68.0
427,4,20.591,18,1,0,21,14,11,31,0,56.0
428,4,19.647,18,1,0,12,1,12,31,13,46.0
429,4,10.0,18,1,0,11,3,1,31,2,15.0
430,4,19.105,18,1,0,12,2,20,31,16,42.0
431,4,7.616,18,1,0,28,0,4,31,11,6.0
432,4,18.028,18,1,0,14,2,9,31,12,41.0
433,4,34.986,18,1,0,1,18,31,31,0,97.0
434,4,30.364,18,1,0,2,9,0,31,4,91.0
435,4,25.456,18,1,0,13,5,19,31,0,75.0
436,4,26.173,18,1,0,12,14,20,31,0,80.0
437,4,29.833,18,1,0,8,2,24,31,0,88.0
438,4,21.471,18,1,0,6,6,0,31,2,59.0
439,4,22.204,18,1,0,7,0,19,31,0,62.0
440,4,11.662,18,1,0,5,3,7,31,2,19.0
441,4,14.765,18,1,0,18,3,14,31,11,33.0
442,4,13.454,18,1,0,1,5,11,31,4,27.0
443,4,8.246,18,1,0,9,1,3,31,10,10.0
444,4,20.518,18,1,0,17,2,15,31,3,54.0
445,4,10.817,18,1,0,5,2,7,31,4,16.0
446,4,16.492,18,1,0,16,9,5,31,2,37.0
447,4,4.243,18,1,0,3,3,4,31,0,2.0
448,4,8.944,18,1,0,7,1,5,31,10,11.0
449,4,30.15,18,1,0,1,3,6,31,0,89.0
450,4,23.022,18,1,0,6,9,20,31,0,66.0
451,4,24.187,18,1,0,7,3,0,31,0,72.0
452,4,23.324,18,1,0,5,8,1,31,0,67.0
453,4,19.105,18,1,0,29,12,3,31,0,42.0
454,4,26.019,18,1,0,5,1,27,31,17,79.0
455,4,26.926,18,1,0,0,10,6,31,2,83.0
456,4,31.385,18,1,0,2,12,0,31,0,93.0
457,4,14.036,18,1,0,30,7,2,31,4,31.0
458,4,24.839,18,1,0,1,12,20,31,2,74.0
459,4,23.345,18,1,0,8,0,24,31,14,68.0
460,4,32.45,18,1,0,4,1,28,31,0,94.0
461,4,12.0,18,1,0,19,0,13,31,18,21.0
462,4,28.425,18,1,0,9,1,23,31,0,86.0
463,4,15.232,18,1,0,25,7,7,31,4,35.0
464,4,20.518,18,1,0,16,1,16,31,4,54.0
465,4,11.314,18,1,0,3,4,9,31,10,17.0
466,4,17.263,18,1,0,28,10,4,31,1,39.0
467,4,20.0,18,1,0,11,0,21,31,18,50.0
468,4,28.0,18,1,0,3,0,29,31,18,85.0
469,4,12.0,18,1,0,11,5,1,31,0,21.0
470,4,2.236,18,1,0,30,2,2,31,16,1.0
471,4,36.359,18,1,0,0,19,32,31,0,98.0
472,4,19.105,18,1,0,11,0,15,31,0,42.0
473,4,26.0,18,1,0,5,0,27,31,18,78.0
474,4,23.601,18,1,0,12,10,20,31,4,70.0
475,4,22.627,18,1,0,4,3,17,31,2,64.0
476,4,30.265,18,1,0,1,4,31,31,14,90.0
477,4,21.84,18,1,0,10,2,13,31,12,60.0
478,4,4.243,18,1,0,3,3,4,31,0,2.0
479,4,31.016,18,1,0,0,1,32,31,17,92.0
480,4,13.601,18,1,0,0,4,12,31,10,28.0
481,4,8.944,18,1,0,7,1,5,31,10,11.0
482,4,21.932,18,1,0,6,5,1,31,4,61.0
483,4,34.438,18,1,0,0,15,32,31,3,96.0
484,4,5.099,18,1,0,1,5,0,31,13,4.0
485,4,24.331,18,1,0,7,4,25,31,14,73.0
486,4,19.235,18,1,0,28,12,4,31,0,45.0
487,4,32.573,18,1,0,0,10,2,31,2,95.0
488,4,13.0,18,1,0,19,1,5,31,13,25.0
489,4,8.062,18,1,0,12,8,0,31,10,8.0
490,4,8.062,18,1,0,27,0,5,31,11,8.0
491,4,9.22,18,1,0,22,2,10,31,16,13.0
